nodes,k,output,counter,ratio,time(sec)
3,2,0 2,9,-,0
4,2,0 3,24,2.666666667,0
4,3,0 1 2,16,0.666666667,0
5,2,0 3,50,3.125,0.001013279
5,3,0 2 3,50,1,0
6,2,3 4,90,1.8,0
6,3,2 4 5,120,1.333333333,0.001000166
6,5,0 1 2 3 4,36,0.3,0
7,2,0 5,147,4.083333333,0.001000404
7,3,1 2 3,245,1.666666667,0.00200057
7,5,0 2 3 4 6,147,0.6,0.001000404
8,2,1 3,224,1.523809524,0.002000093
8,3,3 4 7,448,2,0.00200057
8,5,0 3 4 5 7,448,1,0.003000498
8,7,0 1 2 3 4 5 7,64,0.142857143,0.001000404
9,2,1 3,324,5.0625,0.00200057
9,3,0 1 3,756,2.333333333,0.005001307
9,5,2 3 5 7 8,1134,1.5,0.006001234
9,7,0 1 2 3 4 6 7,324,0.285714286,0.002000332
10,2,3 4,450,1.388888889,0.004001141
10,3,3 4 7,1200,2.666666667,0.007001638
10,5,0 2 4 7 9,2520,2.1,0.017003298
10,7,0 1 2 3 4 6 8,1200,0.476190476,0.009002924
11,2,3 6,605,0.504166667,0.00500083
11,3,0 1 2,1815,3,0.012055397
11,5,0 2 4 5 10,5082,2.8,0.030598402
11,7,0 2 3 4 6 8 10,3630,0.714285714,0.024274111
12,2,1 9,792,0.218181818,0.007995605
12,3,5 6 10,2640,3.333333333,0.019010305
12,5,1 4 5 6 10,9504,3.6,0.068015337
12,7,0 1 2 5 6 8 10,9504,1,0.063014507
12,11,0 1 2 4 5 6 7 8 9 10 11,144,0.015151515,0.003987551
13,2,2 8,1014,7.041666667,0.013002634
13,3,1 2 8,3718,3.666666667,0.032987833
13,5,2 3 7 9 11,16731,4.5,0.118045807
13,7,0 1 3 6 9 10 12,22308,1.333333333,0.154271841
13,11,0 1 2 3 4 6 8 9 10 11 12,1014,0.045454545,0.012002707
14,2,0 5,1274,1.256410256,0.018003702
14,3,1 6 12,5096,4,0.046010971
14,5,0 1 2 6 13,28028,5.5,0.200538158
14,7,0 1 2 3 4 6 13,48048,1.714285714,0.348723888
14,11,1 2 3 4 5 6 7 9 10 12 13,5096,0.106060606,0.044009924
14,13,0 1 2 3 4 5 6 7 8 9 10 12 13,196,0.038461538,0.011002302
15,2,3 11,1575,8.035714286,0.029006004
15,3,2 3 7,6825,4.333333333,0.064335108
15,5,0 2 7 8 10,45045,6.6,0.32762289
15,7,0 1 2 4 5 8 12,96525,2.142857143,0.694862843
15,11,0 1 2 3 4 5 8 9 10 13 14,20475,0.212121212,0.167037249
15,13,0 1 2 3 4 5 6 7 8 9 10 13 14,1575,0.076923077,0.030006647
16,2,2 6,1920,1.219047619,0.051011086
16,3,0 9 11,8960,4.666666667,0.097021818
16,5,0 2 4 9 10,69888,7.8,0.525117636
16,7,0 4 5 6 9 13 14,183040,2.619047619,1.33396554
16,11,0 2 4 6 7 8 9 10 11 14 15,69888,0.381818182,0.574128628
16,13,0 2 4 5 6 7 8 9 10 11 12 14 15,8960,0.128205128,0.103022814
17,2,6 7,2312,0.258035714,0.093020678
17,3,2 4 8,11560,5,0.147033215
17,5,0 2 3 4 8,105196,9.1,0.819476843
17,7,0 1 2 6 7 13 14,330616,3.142857143,2.554431677
17,11,0 1 2 3 4 6 7 11 12 14 16,210392,0.636363636,1.711936951
17,13,0 1 3 4 5 6 7 8 11 12 13 14 16,40460,0.192307692,0.399089098
18,2,4 15,2754,0.068067227,0.176039457
18,3,1 3 17,14688,5.333333333,0.260057688
18,5,0 1 5 11 17,154224,10.5,1.250779867
18,7,1 3 5 8 9 11 16,572832,3.714285714,4.459328413
18,11,0 2 3 4 5 8 11 12 14 15 16,572832,1,4.863918066
18,13,0 1 3 4 5 6 8 10 11 12 15 16 17,154224,0.269230769,1.438322067
18,17,0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17,324,0.00210084,0.162024736
19,2,2 3,3249,10.02777778,0.351082325
19,3,0 14 16,18411,5.666666667,0.440151215
19,5,0 1 2 3 16,220932,12,1.877619028
19,7,0 1 2 5 10 11 15,957372,4.333333333,7.572390318
19,11,0 2 3 4 8 9 10 11 15 16 18,1436058,1.5,11.86290956
19,13,0 1 3 4 5 8 9 10 11 13 15 16 18,515508,0.358974359,4.516967058
19,17,0 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 18,3249,0.006302521,0.343574524
20,2,8 15,3800,1.169590643,0.676093102
20,3,6 13 18,22800,6,0.802015543
20,5,5 6 7 13 16,310080,13.6,2.906111956
20,7,0 2 5 9 11 12 16,1550400,5,12.47574663
20,11,1 2 5 6 7 8 9 10 14 16 18,3359200,2.166666667,28.26635885
20,13,1 2 3 4 5 6 7 8 9 13 14 16 18,1550400,0.461538462,13.77806973
20,17,0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 18,22800,0.014705882,0.82597065
20,19,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18,400,0.01754386,0.643756628
