letter,exact,exact_percent,exact_bits,fixed_minimum,fixed_maximum,fixed_average,fixed_bits,fixed_average_percent,fixed_STD,fixed_VAR,fixed_meanAbsError,fixed_meanRelError,decrease_minimum,decrease_maximum,decrease_average,decrease_bits,decrease_average_percent,decrease_STD,decrease_VAR,decrease_meanAbsError,decrease_meanRelError
E,9095,12.5975,14,8906,9310,9117,14,12.6206,96.0814,9231.6424,22,0.2419,3495,39553,9844,14,13.725,5549.0941,30792445.32,749,8.2353
T,6296,8.7206,13,6154,6494,6296,13,8.7155,63.848,4076.5714,0,0,1747,13983,5928,13,8.2651,2171.8996,4717148.01,368,5.845
O,5880,8.1444,13,5730,5998,5865,13,8.1189,68.248,4657.7959,15,0.2551,2471,9887,5059,13,7.0535,1981.0038,3924375.928,821,13.9626
A,5400,7.4795,13,5226,5542,5413,13,7.4932,75.9702,5771.4694,13,0.2407,1747,13983,5742,13,8.0058,2815.5914,7927554.88,342,6.3333
I,4783,6.6249,13,4584,4952,4787,13,6.6266,76.3464,5828.7755,4,0.0836,1747,9887,4615,13,6.4345,1660.8377,2758381.721,168,3.5124
H,4743,6.5695,13,4568,4878,4733,13,6.5519,63.6951,4057.071,10,0.2108,1747,9887,4632,13,6.4582,1960.9638,3845379.194,111,2.3403
S,4706,6.5183,13,4548,4852,4721,13,6.5353,64.2127,4123.2718,15,0.3187,1747,9887,4259,13,5.9381,1673.1512,2799434.815,447,9.4985
N,4656,6.449,13,4520,4828,4660,13,6.4508,60.6768,3681.6718,4,0.0859,1235,9887,5132,13,7.1553,1857.0891,3448779.918,476,10.2234
R,4386,6.075,13,4292,4556,4388,13,6.0743,57.2916,3282.3265,2,0.0456,1235,19776,4564,13,6.3634,2636.0525,6948772.771,178,4.0584
L,3281,4.5445,12,3086,3452,3290,12,4.5543,67.0266,4492.5714,9,0.2743,1235,6991,3409,12,4.753,1678.6467,2817854.798,128,3.9012
D,2795,3.8714,12,2650,2926,2796,12,3.8705,67.1162,4504.5894,1,0.0358,1235,6991,2571,12,3.5846,1135.2117,1288705.672,224,8.0143
U,2480,3.435,12,2376,2566,2475,12,3.4261,38.1538,1455.7143,5,0.2016,873,6991,2363,12,3.2946,1157.1777,1339060.121,117,4.7177
M,2263,3.1345,12,2134,2396,2269,12,3.141,59.8077,3576.9616,6,0.2651,1235,6991,2167,12,3.0213,934.9017,874041.182,96,4.2422
Y,1882,2.6068,11,1792,1962,1874,11,2.5942,41.839,1750.5045,8,0.4251,873,3495,1812,11,2.5264,714.6308,510697.2147,70,3.7194
W,1770,2.4516,11,1686,1850,1779,11,2.4627,38.267,1464.3657,9,0.5085,617,3495,1824,11,2.5431,687.4568,472596.8996,54,3.0508
C,1365,1.8907,11,1276,1448,1368,11,1.8937,36.4992,1332.1943,3,0.2198,617,3495,1290,11,1.7986,589.6427,347678.5306,75,5.4945
F,1346,1.8643,11,1276,1420,1339,11,1.8536,35.7612,1278.8637,7,0.5201,617,3495,1401,11,1.9533,595.5278,354653.3159,55,4.0862
G,1208,1.6732,11,1124,1282,1208,11,1.6722,32.9912,1088.418,0,0,436,3495,1248,11,1.74,565.721,320040.229,40,3.3113
P,1161,1.6081,11,1106,1226,1158,11,1.603,27.3261,746.7167,3,0.2584,436,1747,1089,11,1.5183,355.5854,126440.9535,72,6.2016
B,1090,1.5098,11,1006,1154,1090,11,1.5089,38.4559,1478.8571,0,0,436,2471,1151,11,1.6048,456.6928,208568.3057,61,5.5963
V,699,0.9682,10,626,754,697,10,0.9649,27.4463,753.2996,2,0.2861,217,1747,672,10,0.9369,305.4195,93281.0922,27,3.8627
K,634,0.8782,10,586,680,636,10,0.8804,23.791,566.0098,2,0.3155,308,1235,678,10,0.9453,247.3143,61164.3596,44,6.9401
Q,115,0.1593,7,98,132,116,7,0.1606,9.0684,82.2351,1,0.8696,53,217,118,7,0.1645,45.5814,2077.6657,3,2.6087
X,92,0.1274,7,64,112,93,7,0.1287,9.977,99.5412,1,1.087,37,217,85,7,0.1185,38.3385,1469.8384,7,7.6087
J,58,0.0803,6,42,74,58,6,0.0803,8.3367,69.5004,0,0,26,108,57,6,0.0795,19.8823,395.3061,1,1.7241
Z,13,0.018,4,4,22,13,4,0.018,4.1357,17.1037,0,0,5,26,13,4,0.0181,5.9076,34.8996,0,0
