Letter,exact,exact_Percent,fixed_Minimum,fixed_Maximum,fixed_Average,fixed_Average_Percent,fixed_Estimate,fixed_STD,fixed_VAR,fixed_MeanAbsError,fixed_MeanRelError,decrease_Minimum,decrease_Maximum,decrease_Average,decrease_Average_Percent,decrease_Estimate,decrease_STD,decrease_VAR,decrease_MeanAbsError,decrease_MeanRelError
A,141725.0,14.2031,4279,4575,4427.0,14.2146,8854.0,65.9927,4355.0306,132871.0,93.7527,16,19,16.0,3.5635,617.0,0.8084,0.6535,141108.0,99.5646
E,118387.0,11.8643,3560,3902,3706.0,11.8996,7412.0,67.3057,4530.0555,110975.0,93.7392,14,18,16.0,3.5635,617.0,0.9134,0.8343,117770.0,99.4788
O,104760.0,10.4986,3163,3419,3271.0,10.5028,6542.0,55.9021,3125.0433,98218.0,93.7553,15,18,16.0,3.5635,617.0,0.8478,0.7188,104143.0,99.411
S,73719.0,7.3878,2228,2398,2303.0,7.3947,4606.0,37.8423,1432.0392,69113.0,93.7519,14,18,15.0,3.3408,436.0,0.8221,0.6759,73283.0,99.4086
R,68080.0,6.8227,2065,2230,2126.0,6.8264,4252.0,38.7614,1502.4473,63828.0,93.7544,14,18,15.0,3.3408,436.0,0.8071,0.6514,67644.0,99.3596
I,54038.0,5.4155,1606,1765,1676.0,5.3815,3352.0,39.6381,1571.182,50686.0,93.797,14,18,15.0,3.3408,436.0,0.9293,0.8637,53602.0,99.1932
D,50219.0,5.0327,1481,1718,1567.0,5.0315,3134.0,41.7613,1744.0098,47085.0,93.7593,14,17,15.0,3.3408,436.0,0.8053,0.6486,49783.0,99.1318
N,48337.0,4.8441,1425,1612,1509.0,4.8452,3018.0,40.0278,1602.2269,45319.0,93.7563,14,17,15.0,3.3408,436.0,0.7407,0.5486,47901.0,99.098
M,46685.0,4.6786,1375,1539,1448.0,4.6494,2896.0,35.2746,1244.2955,43789.0,93.7967,14,17,15.0,3.3408,436.0,0.7103,0.5045,46249.0,99.0661
U,43099.0,4.3192,1235,1451,1345.0,4.3186,2690.0,41.7283,1741.2506,40409.0,93.7586,13,17,15.0,3.3408,436.0,0.7669,0.5882,42663.0,98.9884
T,41971.0,4.2062,1239,1391,1316.0,4.2255,2632.0,39.0062,1521.4873,39339.0,93.729,13,18,15.0,3.3408,436.0,0.9035,0.8163,41535.0,98.9612
L,38457.0,3.854,1125,1301,1200.0,3.8531,2400.0,31.8466,1014.2045,36057.0,93.7593,13,17,14.0,3.118,308.0,0.91,0.8282,38149.0,99.1991
C,35251.0,3.5327,1033,1178,1100.0,3.532,2200.0,33.2873,1108.0473,33051.0,93.759,13,16,14.0,3.118,308.0,0.8437,0.7118,34943.0,99.1263
P,23458.0,2.3509,672,791,727.0,2.3343,1454.0,25.8182,666.5812,22004.0,93.8017,13,16,14.0,3.118,308.0,0.8283,0.6861,23150.0,98.687
V,17162.0,1.7199,471,574,532.0,1.7082,1064.0,21.6927,470.5731,16098.0,93.8003,12,16,13.0,2.8953,217.0,0.9258,0.8571,16945.0,98.7356
H,16282.0,1.6317,450,565,513.0,1.6472,1026.0,23.2897,542.4118,15256.0,93.6986,12,17,13.0,2.8953,217.0,0.9689,0.9388,16065.0,98.6672
G,12732.0,1.2759,359,437,401.0,1.2876,802.0,17.3205,300.0004,11930.0,93.7009,12,15,13.0,2.8953,217.0,0.8352,0.6976,12515.0,98.2956
B,11701.0,1.1726,330,409,363.0,1.1656,726.0,18.574,344.9943,10975.0,93.7954,12,15,13.0,2.8953,217.0,0.8144,0.6633,11484.0,98.1455
F,10281.0,1.0303,274,349,323.0,1.0371,646.0,17.2626,297.9984,9635.0,93.7166,12,15,13.0,2.8953,217.0,0.9348,0.8739,10064.0,97.8893
Q,10009.0,1.0031,273,360,314.0,1.0082,628.0,18.0082,324.2959,9381.0,93.7256,12,15,13.0,2.8953,217.0,0.8144,0.6633,9792.0,97.832
Ã,6469.0,0.6483,175,252,203.0,0.6518,406.0,15.202,231.102,6063.0,93.7239,11,14,12.0,2.6726,153.0,0.8053,0.6486,6316.0,97.6349
Z,4956.0,0.4967,137,183,158.0,0.5073,316.0,10.8903,118.5996,4640.0,93.6239,10,14,11.0,2.4499,108.0,0.9249,0.8555,4848.0,97.8208
Ç,4116.0,0.4125,108,153,132.0,0.4238,264.0,11.5534,133.4812,3852.0,93.586,10,13,11.0,2.4499,108.0,0.7669,0.5882,4008.0,97.3761
Á,3771.0,0.3779,92,150,116.0,0.3725,232.0,10.8414,117.5351,3539.0,93.8478,9,13,11.0,2.4499,108.0,0.8391,0.7041,3663.0,97.136
J,3046.0,0.3053,76,116,94.0,0.3018,188.0,9.2706,85.9445,2858.0,93.828,9,13,11.0,2.4499,108.0,0.9666,0.9343,2938.0,96.4544
É,2908.0,0.2914,68,112,89.0,0.2858,178.0,9.8484,96.9914,2730.0,93.879,10,13,11.0,2.4499,108.0,0.8947,0.8004,2800.0,96.2861
X,2276.0,0.2281,56,88,70.0,0.2248,140.0,7.9013,62.431,2136.0,93.8489,9,12,10.0,2.2272,76.0,0.8418,0.7086,2200.0,96.6608
Ô,931.0,0.0933,16,39,28.0,0.0899,56.0,5.4025,29.1873,875.0,93.985,8,12,9.0,2.0045,53.0,0.9848,0.9698,878.0,94.3072
Ó,858.0,0.086,17,37,26.0,0.0835,52.0,5.0312,25.3127,806.0,93.9394,8,11,9.0,2.0045,53.0,0.9055,0.82,805.0,93.8228
Ê,708.0,0.071,9,34,21.0,0.0674,42.0,5.3608,28.7384,666.0,94.0678,7,11,9.0,2.0045,53.0,0.9613,0.9241,655.0,92.5141
Y,469.0,0.047,6,27,14.0,0.045,28.0,3.6408,13.2555,441.0,94.0299,7,11,8.0,1.7817,37.0,0.8628,0.7445,432.0,92.1109
Õ,465.0,0.0466,8,21,14.0,0.045,28.0,3.4013,11.569,437.0,93.9785,7,11,8.0,1.7817,37.0,1.0102,1.0204,428.0,92.043
K,177.0,0.0177,2,12,5.0,0.0161,10.0,2.1491,4.6188,167.0,94.3503,6,9,7.0,1.559,26.0,0.8033,0.6453,151.0,85.3107
W,101.0,0.0101,0,7,2.0,0.0064,4.0,1.6408,2.6922,97.0,96.0396,5,8,6.0,1.3363,18.0,0.802,0.6433,83.0,82.1782
Í,94.0,0.0094,0,8,2.0,0.0064,4.0,2.0373,4.1506,90.0,95.7447,4,8,6.0,1.3363,18.0,0.8081,0.6531,76.0,80.8511
À,51.0,0.0051,0,4,1.0,0.0032,2.0,1.073,1.1514,49.0,96.0784,4,7,5.0,1.1136,12.0,0.8104,0.6567,39.0,76.4706
È,45.0,0.0045,0,4,1.0,0.0032,2.0,1.0506,1.1037,43.0,95.5556,4,6,5.0,1.1136,12.0,0.7103,0.5045,33.0,73.3333
Ú,34.0,0.0034,0,3,1.0,0.0032,2.0,0.8571,0.7347,32.0,94.1176,4,6,4.0,0.8909,8.0,0.7197,0.518,26.0,76.4706
Ñ,9.0,0.0009,0,2,0.0,0.0,0.0,0.4647,0.2159,9.0,100.0,2,5,3.0,0.6682,5.0,0.8071,0.6514,4.0,44.4444
Â,5.0,0.0005,0,1,0.0,0.0,0.0,0.3881,0.1506,5.0,100.0,1,4,2.0,0.4454,3.0,0.7309,0.5343,2.0,40.0
Ò,2.0,0.0002,0,1,0.0,0.0,0.0,0.274,0.0751,2.0,100.0,1,2,1.0,0.2227,2.0,0.4712,0.222,0.0,0.0
Û,1.0,0.0001,0,1,0.0,0.0,0.0,0.2399,0.0576,1.0,100.0,1,1,1.0,0.2227,2.0,0.0,0.0,1.0,100.0
Ù,1.0,0.0001,0,1,0.0,0.0,0.0,0.1979,0.0392,1.0,100.0,1,1,1.0,0.2227,2.0,0.0,0.0,1.0,100.0
