Letter,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8,Exp 9,Exp 10,Minimum,Maximum,Average,Average %,MAE,STD,Variance
E,12,12,14,14,26,16,14,18,18,16,12,26,16,17.2043,2.8,4.1096,16.8889
T,16,10,14,10,14,10,12,16,8,12,8,16,12,12.9032,2.2,2.7406,7.5111
A,8,8,12,6,10,8,10,12,10,10,6,12,9,9.6774,1.6,1.8974,3.6
O,12,10,10,10,8,10,10,6,8,4,4,12,8,8.6022,2.0,2.3476,5.5111
I,6,6,12,4,10,4,4,8,12,10,4,12,7,7.5269,2.8,3.2387,10.4889
S,8,10,8,8,6,10,12,4,8,4,4,12,7,7.5269,2.2,2.5734,6.6222
H,8,6,6,2,10,8,6,12,6,4,2,12,6,6.4516,2.0,2.8597,8.1778
F,4,4,6,6,8,4,2,6,4,8,2,8,5,5.3763,1.6,1.9322,3.7333
R,2,8,6,8,4,6,4,4,4,12,2,12,5,5.3763,2.2,2.8983,8.4
U,6,4,6,6,6,2,2,2,2,4,2,6,4,4.3011,1.6,1.8856,3.5556
N,8,4,0,2,2,4,2,2,4,0,0,8,2,2.1505,1.6,2.3476,5.5111
L,4,2,0,4,2,6,2,4,0,4,0,6,2,2.1505,1.6,1.9322,3.7333
B,2,4,0,0,0,2,4,4,2,4,0,4,2,2.1505,1.4,1.7512,3.0667
D,2,2,4,0,0,2,0,0,2,2,0,4,1,1.0753,1.2,1.3499,1.8222
X,2,0,2,2,2,2,2,2,0,0,0,2,1,1.0753,1.0,0.9661,0.9333
Y,2,0,0,0,2,2,2,0,2,2,0,2,1,1.0753,1.0,1.0328,1.0667
W,2,2,2,2,0,0,2,2,2,4,0,4,1,1.0753,1.2,1.1353,1.2889
V,2,2,2,0,2,0,0,2,2,0,0,2,1,1.0753,1.0,1.0328,1.0667
C,0,2,4,2,0,4,2,0,4,0,0,4,1,1.0753,1.6,1.7512,3.0667
P,0,2,0,0,2,0,2,2,0,2,0,2,1,1.0753,1.0,1.0541,1.1111
G,0,0,2,2,2,2,0,2,2,2,0,2,1,1.0753,1.0,0.9661,0.9333
