letter,exp 1,minimum,maximum,average,average_percent,STD,VAR
E,28300,28300,28300,28300.0,16.6556,,
N,17178,17178,17178,17178.0,10.1099,,
I,13710,13710,13710,13710.0,8.0688,,
S,12046,12046,12046,12046.0,7.0895,,
R,11479,11479,11479,11479.0,6.7558,,
H,10050,10050,10050,10050.0,5.9148,,
T,9775,9775,9775,9775.0,5.7529,,
A,8630,8630,8630,8630.0,5.0791,,
D,7670,7670,7670,7670.0,4.5141,,
L,6762,6762,6762,6762.0,3.9797,,
U,6266,6266,6266,6266.0,3.6878,,
G,5422,5422,5422,5422.0,3.191,,
C,5209,5209,5209,5209.0,3.0657,,
M,4916,4916,4916,4916.0,2.8932,,
O,4429,4429,4429,4429.0,2.6066,,
W,3254,3254,3254,3254.0,1.9151,,
B,3086,3086,3086,3086.0,1.8162,,
F,2220,2220,2220,2220.0,1.3066,,
K,1999,1999,1999,1999.0,1.1765,,
Z,1758,1758,1758,1758.0,1.0346,,
V,1238,1238,1238,1238.0,0.7286,,
Ü,1049,1049,1049,1049.0,0.6174,,
Ä,999,999,999,999.0,0.5879,,
P,876,876,876,876.0,0.5156,,
Ö,822,822,822,822.0,0.4838,,
Y,517,517,517,517.0,0.3043,,
J,224,224,224,224.0,0.1318,,
X,18,18,18,18.0,0.0106,,
Q,11,11,11,11.0,0.0065,,
